,Description,Label
144,The job abended due to Database Login Time out issue as there was load in the TD box. We have reexecuted the job after the load was reduced and the job got completed successfully. ,pos
145,The job got abended with PIPE error due to database connection time out.,neg
146,the job completed Succefully on rerun,pos
147,Job got failed due to source unavailability. Then Job was cancelled for the day.,neg
148,Job got failed due to file unavailability. Then job has been re started once the file have been placed in the path.,neg
149,schedule triggered wrongly. so the job are killed manually. ,neg
150,The job failed due to log in time out error.We have re-executed the job and completed successfully.,neg
151,No source file.,neg
152,the job failed due to row count mismatch between source file and the ODS table. We have requested the source team to place the source files again. The job completed after placing the source file in the source path.,neg
153,Job got failed due to name pipe error. Then job was re-started and completed successfully.,neg
154,job executed successfully on rerunning,pos
155,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.,neg
156,Login timed out error. completed on re-run,neg
157,Job got failed due to count mismatch. Then issue has been fixed and job has been re started,neg
158,rerun was successful,pos
159,JOb got failed due to data issue. Then issue was fixed and job was restarted and completed successfully.,neg
160,JOb got failed due to connectivity issue. Then job was restarted and completed successfully.,neg
161,Job got failed due to file unavailability. Then job was re started once the file was placed in the path.,neg
162,JOb got failed due to connectivity issue. Then issue was fixed and job was re-started.,neg
163,Job got failed due to login time out. Then job was re-started.,neg
164,Job re-run once the source file is available.,pos
165,"scheduls was held due to performance issues in the batches, will be run in enxt day's load",pos
166,JOb got failed due to connectivity issue. Then job was re-started and completed successfully.,neg
167,The job has been cancelled,neg
168,Job got failed due to connectivity issue. Then  job has been re-executed and completed successfully.,neg
169,Source file issue. Job completed after receiving the file.,pos
170,The job failed due to TD upgrade issue.It completed successfully after the issue is resolved.,pos
171,Job got failed due to count mismatch. Then issue has been fixed and job has been re started,neg
172,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.,neg
173,rerun was successful,pos
174,JOb got failed due to name pipe error  and job was re-started and completed,neg
175,The job has been completed succesfully on re-run,pos
176,The job completed successfully on re-executing the job,pos
177,Job got failed due to count mismatch. Then issue has been fixed and job was re started.,neg
178,self lock. script executed.,pos
179,Job got failed due to connectivity issue. Then issue was fixed and job was re started,neg
180,Job got failed due to connectivity issue. Job was re started and completed successfully.,neg
181,The job got abended with PIPE ERROR due to database connection Time out. The job was restarted and completed successfully.,neg
182,Job got failed due to connectivity issue. Then issue was fixed and job was re-executed and completed successfully.,neg
183,completed on re-run,pos
184,the job failed due to hadoop database issue.,neg
185,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.",pos
186,the job failed due to hadoop database issue.,neg
187,The job failed due to log in time out error.We have re-executed the job and completed successfully.,neg
188,The job has completed successfully on re-run,pos
189,"
The job failed due to duplicate .We have re-executed the job after deleteing the invalid records and the job completed successfully.",neg
190,JOb got failed due to connectivity  issue. Then job was re-started.,neg
191,Job got failed due to connectivity issue. Job was re started and completed successfully.,neg
192,Source file issue. Job completed after receiving the file.,pos
193,Batch Issues. Jobs were re-run successfully.,pos
194,Job got failed due to file unavailability. Then issue was fixed and job was restarted.,neg
195,Source file not available. Job re-run once the file is avaialble.,pos
196,Self-lock occured. Job completed by manually running the query.,pos
197,The job completed successfully on re-executing the job,pos
198,The job abended due to duplicate data issue. The issue was fixed and the job was restarted and completed successfully.,pos
199,Job has been re-run successfully.,pos
200,Job completed successfully by running the query manually.,pos
201,The job got abended with PIPE ERROR due to database connection Time out. The job was restarted and completed successfully.,neg
202,Job got failed due to connectivity issue. Then job was re-started,neg
203,Job got failed due to source unavailability. Then Job was cancelled for the day.,neg
204,"The job abended as the source files are not available in the source path. We have requested the source team to place the file and restarted the job, it got completed successfully.",pos
205,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.",pos
206,Source file not available. Job re-run once the file is available.,pos
207,completed on re-run,pos
208,Job got failed due to connectivity issue. Then job was re-started,neg
209,The job ran successfully on re-run,pos
210,self lock. script executed.,pos
211,Job got failed due to tdata connecitivity issuee. Then job was re-started and completed successfully.,neg
212,Job got failed due to null value issue. Then issue was fixed and job was re-started and completed successfully.,pos
213,JOb got failed due to tdata Outage. Then JOb was re started once the outage was over.,neg
214,JOb got failed due to duplicate issue. Then issue was fixed and job was re-started.,neg
215,rerun was successful,pos
216,Self lock. script executed.,pos
217,The job got abended with PIPE ERROR due to database connection Time out. The job was restarted and completed successfully.,neg
218,JOb got failed due to connectivity issue. Then job was restarted and completed successfully.,neg
219,On re-run job completed successfully.,pos
220,"source file not available, contacted the source team for the same",pos
221,The job failed due to null values in not null field.We have re-executed the job after deleting the invalid records and completed successfully.,pos
222,JOb got failed due to name pipe error issue. Then job was re-started and completed successfully,neg
223,Self-lock. Job completed after running the query manually.,pos
224,The job failed due to log in time out error.We have re-executed the job and completed successfully.,neg
225,Job got abended due to data issue. Then issue has been fixed and job has been re-executed and compelted sucecssfully,pos
226,Job re-run once the file is available.,pos
227,brj issue. completed on re-run,pos
228,Job got failed due to count mismatch. Then issue has been fixed and job has been re started,neg
229,job executed successfully on rerunning,pos
230,The job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully.,neg
231,Job completed successfully on re-run.,pos
232,re-run was successfully,pos
233,schedule triggered wrongly. so the job are killed manually. ,neg
234,Login timed out error.completed on re-run.,pos
235,The job ran successfully on re-run,pos
236,job will be run as a part of reference table data load,pos
237,Job got failed due to connectivity issue. Then job was re-started,neg
238,Job got failed due to connectivity issue. Then job was cancelled for the day.,neg
239,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.,neg
240,The job got killed due to tbload issue. the tbload was removed and the job was restarted and completed successfully.,neg
241,The job failed due to log-in time out which has been re-executed and completed successfully.,neg
242,job got failed due to name pipe error. Then issue was fixed and job was re-started,neg
243,On re-run job completed successfully.,pos
244,Completed on re-run,pos
245,Source file not available. Job re-run once the file is avaialble.,pos
246,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.,neg
247,Job got failed due to connectivity issue. Then job has been re-executed and completed successfully.,neg
248,Job got failed due to connectivity issue. Then issue has been resoved adn job was restarted.,neg
249,Job got failed due to data issue. Then issue has been fixed and job has been fixed and job has been re-executed and completed,neg
250,Source file not available. Job re-run once the file is available.,pos
251,JOb got failed due to connectivity issue. Then job was re-started.,neg
252,The job ran successfully on re-run,pos
253,Wrongly triggered.,pos
254,The job has been completed succesfully on re-run,pos
255,brj issue. Job re-run once brj is up and completed successfully.,pos
256,Self-lock occured. Job completed by manually running the query.,pos
257,Source file not available. Job re-run once the file is avaialble.,pos
258,on rerun the job completed successfully.,pos
259,"failed during collect stats , skipped and continued the job",neg
260,Job got failed due to tdata outage. Then job was re-started once the outage has been compelted.,neg
261,Batch Issues. Jobs were re-run successfully.,pos
262,"Job failed to trigger in production. On re-run, the job was completed successfully.",neg
263,"There was an issue with TD upgrade, Fix was later provided by TD team after which job has been rerun and completed successfully.",pos
264,Job got falied due to connectivity issue. Then job was completed on successful re-run,pos
265,"Due to data issues, the job was failed. On fixing the data and re-running, the job was completed successfully.",neg
266,"Time out issue , rerun was success",pos
267,Job got failed due to tdata outage. Then job was re-started once the outage has been compelted.,neg
268,Source file not available. Job re-run once the file is available.,pos
269,Job got failed due to process state failure. Job was re started once the issue fixed.,neg
270,"TD outage ,successful on rerun",pos
271,Job got failed due to file unavailability. Then issue was fixed and job wass re-started,neg
272,Job got failed due to duplicate issue. Then issue has been fixed and job was re-started,neg
273,Job got failed due to count mismatch. Then issue has been fixed and job has been re started,neg
274,on rerun the job completed successfully.,pos
275,he job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully.,neg
276,The job has been completed succesfully on re-run,pos
277,"JOb failed due to namepipe error, successful on rerun",neg
278,Named pipe error. Lock released and job re-run successfully.,pos
279,The job ran successfully on re-run,pos
280,TODS error.,neg
281,Source file issue. Job completed after receiving the file.,pos
282,Job was marked as completed.,pos
283,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.",pos
284,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.,neg
285,rerun was successful,pos
286,brj issue. completed on re-run,pos
287,Login timed out error. completed on re-run,neg
288,The job has been completed succesfully on re-run,pos
289,brj issue. completed on re-run,pos
290,The job abended due to duplicate/null data issue. The issue was resolved and the job was restarted and completed successfully.,pos
291,re-run was successful.,pos
292,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.",pos
293,Job Abended due to Data Issues (i.e. Duplicates/NULL Values/Invalid Data Format). The issue was fixed and the job was restarted and completed successfully.,pos
294,Job got failed due to connectivity issue. Then issue was fixed and job was re started,neg
295,Job got failed due to null value issue. Then issue has been fixed and job has been re-started.,neg
296,JOb got failed due to duplicate issue. Then issue was fixed and job was re-started.,neg
297,The job abended due to Data Issue (i.e. Duplicates/NULL values/ Invalid data format). the job was restarted and it got completed successfully.,pos
298,wrongly triggered,pos
299,Job completed by manually running the query.,pos
300,JOb was failed due to null value issue. Then issue was fixed and job was restarted.,neg
301,JOb got failed due to process state failure. Then issue was fixed and job was restarted and completed successfully.,neg
302,"There was an issue with TD upgrade, Fix was later provided by TD team after which job has been rerun and completed successfully.",pos
303,Job got failed due to connectivity issue. Then  job has been re-executed and completed successfully.,neg
304,Job got failed due to count mismatch. Then issue has been fixed and job was re started.,neg
305,Job got failed due to count mismatch. Then issue has been fixed and job has been re started,neg
306,The job abended due to duplicate data issue. The issue was fixed and the job was restarted and completed successfully.,pos
307,The job completed successfully on re-executing the job,pos
308,self lock. script executed.,pos
309,The job has been ran successfully on rerun,pos
310,Source file was not available.,pos
311,The job completed successfully on re-executing the job,pos
312,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.",pos
313,On re-running the job was successful,pos
314,Job was executed successfully on re run.,pos
315,On re-run job completed successfully.,pos
316,Source level issue (i.e. source file missing (or) Invalid data format from source)  leads to the job failure. The job was restarted and it got completed successfully.,neg
317,on rerun the job completed successfully.,pos
318,"
The job failed in update status query.We have manually changed the status and the job completed successfully.",neg
319,Confirmed at backened,pos
320,re-run was successful.,pos
321,Script executed.,pos
322,self lock. script executed.,pos
323,Job was running for long time than usual. Hence job has been killed and marked as success.,neg
324,The job failed due to TD upgrade issue.It completed successfully after the issue is resolved.,pos
325,The job abended as we are not able to connect to the source database system.,pos
326,brj issue. completed on re-run,pos
327,"issue due to TD upgrade,successful on rerun",pos
328,the job completed on rerun,pos
329,The job has been completed succesfully on re-run,pos
330,"
The job failed due to log in time out error.We have re-executed the job and completed successfully.",neg
331,Job got failed due to connectivity issue. Then issue was fixed and job was re started,neg
332,completed successfully on re-running,pos
333,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.,neg
334,The job got abended with PIPE ERROR due to database connection Time out. The job was restarted and completed successfully.,neg
335,on rerun the job completed successfully.,pos
336,JOb was failed due to null value issue. Then issue was fixed and job was restarted.,neg
337,The job failed due to log in time out error which has bee re-executed and completed successfully,neg
338,Job got abended due to count mismatch. Then issue has been fixed and job has been re-executed and compelted sucecssfully,pos
339,The job abended due to Database Login Time out issue as there was load in the TD box. We have reexecuted the job after the load was reduced and the job got completed successfully.,pos
340,Job got failed due to data issue. Then issue was fixed and job was re started,neg
341,Job got failed due to file unavailability. Then job has been cancelled for  the day.,neg
342,brj issue. completed on re-run,pos
343,Job was re-executed.,pos
344,On re-run job completed successfully.,pos
345,The job failed due to log in time out error.We have re-executed the job and completed successfully.,neg
346,Job got failed due to login time out. Then job was re-started.,neg
347,JOb got failed due to name pipe error  and job was re-started and completed,neg
348,duplicates deleted . completed on re-run,pos
349,The job failed due to duplicate .We have re-executed the job after deleting the invalid records and the job completed successfully.,neg
350,Job got failed due to connectivity issue. Job was re started and completed successfully.,neg
351,The job ran successfully on re-run,pos
352,JOb got failed due to file unavailability. Then issue was fixed and job was restarted.,neg
353,Job marked as completed.,pos
354,job completed successfully,pos
355,The job ran successfully on re-run,pos
356,Job got failed due to source unavailability. Then Job was cancelled for the day.,neg
357,Job completed by manually running the query.,pos
358,"The job abended as the source files are not available in the source path. We have requested the source team to place the file and restarted the job, it got completed successfully.",pos
359,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.",pos
360,"source file not available , job completed successfully ,once the source file was available.",pos
361,Dependent schedule was over-running and hence deadline has breached.,pos
362,Job got abended due to count mismatch. Then issue has been fixed and job has been re-executed and compelted sucecssfully,pos
363,Job completed successfully by running the query manually.,pos
364,"Source file unavailable , job completed successfully after receiving the updated file.",pos
365,re-run was successfull.,pos
366,Job got failed due to tdata connecitivity issuee. Then job was re-started and completed successfully.,neg
367,The job has been cancelled,neg
368,"Source file unavailability , job completed successfully after receiving the updated file.",pos
369,Job got failed due to tdata connecitivity issuee. Then job was re-started and completed successfully.,neg
370,The schedule was in held as the dependent schedule was running for long time and completing late.,pos
371,Job got failed due to connectivity issue. Then issue has been resoved adn job was restarted.,neg
372,"
The job failed due to tbload.It completed successfulll after releasing the tbload.",neg
373,JOb schedules were kept on hold as the schedules were didnt run due to TD connecitivity issue. Hence received deadline alert for the same.,pos
374,Source file not available. Job re-run once the file is available.,pos
375,Job got failed due to duplicate issue. Then issue has been fixed and  job has been re-executed and completed successfully.,neg
376,On re-run job completed successfully.,pos
377,Job got abended due to count mismatch. Then issue has been fixed and job has been re-executed and compelted sucecssfully,pos
378,JOb got failed due to name pipe error issue. Then job was re-started and completed successfully,neg
379,Time-out error. On re-run job completed successfully.,pos
380,Self-lock occured. Job completed after manually running the query.,pos
381,Source file issue. Job completed after receiving the file.,pos
382,The job failed due to log-in time out which has been re-executed and completed successfully.,neg
383,completed on re-run,pos
384,"issue due to TD upgrade,successful on rerun",pos
385,Time-out issue. Job completed on re-run.,pos
386,The job got abended with PIPE error due to database connection time out.,neg
387,"The job abended due to tbload Issue, the issue was fixed and the job was restarted and completed successfully",pos
388,Job got failed due to data issue. Then issue was fixed and job was re-started and completed successfully.,neg
389,the job failed due to duplicate issue. The issue was fixed and the job was restarted and completed successfully.,neg
390,dead lock. completed on re-run.,neg
391,Job got abended due to count mismatch. Then issue has been fixed and job has been re-executed and compelted sucecssfully,pos
392,self lock. Script executed.,pos
393,self lock. script executed.,pos
394,Wrongly triggered from brj.,pos
395,self lock. script executed,pos
396,JOb got failed due to connectivity issue. Then job was restarted and completed successfully.,neg
397,The job failed due to log in time out error which has bee re-executed and completed successfully,neg
398,"issue due to TD upgrade,successful on rerun",pos
399,Job got abended due to count mismatch. Then issue has been fixed and job has been re-executed and compelted sucecssfully,pos
400,completed successfully on re-running,pos
401,JOb was failed due to null value issue. Then issue was fixed and job was restarted.,neg
402,JOb got failed due to connectivity issue. Then issue was fixed and job was restarted and completed successfully.,neg
403,rerun of the job was successful,pos
404,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.,neg
405,This issue has been fixed by creating new user for ARM at the frond end w.r.to the CMD file in the brj tool,pos
406,JOb got failed due to connectivity issue. Then issue was fixed and job was re-started.,neg
407,Source file issue. Job completed once the file is available.,pos
408,The job failed due to log in time out error.We have re-executed the job and completed successfully.,neg
409,Job got failed due to null value issue. Then issue was fixed and job was re-started and completed successfully.,pos
410,The job has been completed successfully on re-run.,pos
411,Source file issue. Job completed after receiving the file.,pos
412,"Table has been locked. released the lock, dropped the temp table and moved the row count file from archieval to arrival.",pos
413,"The job abended as the source files are not available in the source path. We have requested the source team to place the file and restarted the job, it got completed successfully.",pos
414,Batch Issues. Jobs were re-run successfully.,pos
415,Job got failed due to data issue. Then issue has been fixed and job has been fixed and job has been re-executed and completed,neg
416,failed due to tbload issue.The job completed successfully after releasing the tbload.,neg
417,The job ran successfully on re-run,pos
418,re-run was successful.,pos
419,"self Lock occurred , completed the job by running the script",pos
420,Job cancelled,neg
421,Self-lock occured. Job completed after manually running the query.,pos
422,On re-run job completed successfully.,pos
423,Job got failed due to tdata connectivity issue. Then job was re-started and completed.,neg
424,JOb got failed due to name pipe error  and job was re-started and completed,neg
425,On re-run job completed successfully.,pos
426,The job abended due to login timeout issue. The issue was fixed and the job was reexecuted and completed successfully.,pos
427,JOb got failed due to connectivity  issue. Then job was re-started.,neg
428,on rerun the job executed successfully,pos
429,Job got failed due to tdata connecitivity issuee. Then job was re-started and completed successfully.,neg
430,The job failed due to null values in not null field.We have re-executed the job after deleting the invalid records and completed successfully.,pos
431,Job got failed due to file unavailability. Job was re started once the file was placed in source path.,neg
432,Duplicate issue in the file,pos
433,Job got failed due to  incorrect stream closure. Then issue was fixed and JOb was restarted and completed,neg
434,The job completed successfully on re-executing the job,pos
435,The job failed due to file unavailability.This has been resolved after file recieved and re-execution.,neg
436,Failed due to login time out issue and on re-running job got completed successfully.,neg
437,re-run abend. so clocing teh incident,pos
438,"source count target count validation failed  , on rerun the job completed successfully.",neg
439,killed by tdata DBA.,neg
440,The job ran successfully on re-run,pos
441,brj issue. completed on re-run,pos
442,tbload issue. Re-run after releasing the lock.,pos
443,Self-lock occured. Job completed by running the query.,pos
444,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.",pos
445,Job got failed due to connectivity issue. Then job has been re-executed and completed successfully.,neg
446,"Source file unavailability , job completed successfully after receiving the updated file.",pos
447,"
The job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully.",neg
448,on rerun the job completed successfully,pos
449,The job failed due to log in time out error which has bee re-executed and completed successfully,neg
450,on rerun the job completed successfully,pos
451,The job abended with PIPE error due to login timeout issue. THe issue was fixed and the job was restarted and completed successfully.,pos
452,Source file issue. Job re-run once the file was available.,pos
453,Job got failed due to tdata connectivity issue. Then job was re-started and completed.,neg
454,re run was successfull,pos
455,"TD outage, re run was succesful",pos
456,the job ran successfully on re-run,pos
457,Batch Issues. Jobs were re-run successfully.,pos
458,"Batch entry was not there , updated the entry to R status f, the job completed successfully.",pos
459,Job got failed due to file unavailability. Job was re started once the file was placed in source path.,neg
460,Named pipe error. Lock released and job re-run successfully.,pos
461,brj issue. completed on re-run,pos
462,JOb got failed due to connectivity issue. Then job was re-started and completed successfully.,neg
463,completed on re-run,pos
464,Job was executed successfully on re run.,pos
465,Job got failed due to tdata outage. Then job was re-started once the outage has been compelted.,neg
466,self lock. script executed.,pos
467,On re-run job completed successfully.,pos
468,The job has been ran successfully on rerun,pos
469,"
The job failed due to log in time out error.We have re-executed the job and completed successfully.",neg
470,The job has completed successfully on rerun,pos
471,Confirmed at backend,pos
472,Job got failed due to name pipe error. Then JOb was restarted and completed,neg
473,no spool space in db. completed on re-run,neg
474,the job failed due to file unavailability.The job ran later with the file and completed successfully.,neg
475,"The job abended as the source files are not available in the source path. We have requested the source team to place the file and restarted the job, it got completed successfully.",pos
476,brj issue. completed on re-run,pos
477,Source file not available. Job re-run once the file is available.,pos
478,The job executed successfully on re-run,pos
479,rerun was successful after data fix,pos
480,Job got failed due to connectivity issue. Then job was re-started,neg
481,Job got failed due to file unavailability. Then issue was fixed and job was re started,neg
482,JOb got failed due to name pipe error  and job was re-started and completed,neg
483,Job got failed due to file unavailability. Then issue was fixed and job was restarted.,neg
484,wrongly triggered,pos
485,Job got failed due to connectivity issue. Then issue has been fixed and job has been re started,neg
486,The job ran successfully on re-run,pos
487,The job has been completed on re-run,pos
488,The job was marked as completed.,pos
489,source file not available. completed on re-run,pos
490,rerun of the job was successful after data fix,pos
491,on rerun the job completed successfully.,pos
